Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-04-09,2025-04-10,2609,PRIMARY CHILDRENS HOSPITA,Healthcare,6.29,
2025-04-07,2025-04-08,2609,TST* HASH KITCHEN - SALT,Dining,38.48,
2025-04-05,2025-04-07,2609,REI #19 SALT LAKE CITY,Merchandise,308.64,
2025-04-06,2025-04-07,0674,WM SUPERCENTER #3589,Merchandise,40.50,
2025-04-06,2025-04-07,0674,MISTER CAR WASH #0524,Gas/Automotive,26.00,
2025-04-05,2025-04-07,0674,AMAZON MKTPL*HH15X1D53,Merchandise,0.32,
2025-04-04,2025-04-05,2609,WWW COSTCO COM,Merchandise,140.74,
2025-04-03,2025-04-04,0674,WM SUPERCENTER #3589,Merchandise,15.46,
2025-04-02,2025-04-03,2609,SMITHS MRKTPL #4094,Merchandise,16.97,
2025-04-02,2025-04-03,0674,RAOCOPARKS&WILDLIFE CO,Other Services,44.00,
2025-04-01,2025-04-02,2609,MACEY'S TAYLORSVILL,Merchandise,16.75,
2025-04-01,2025-04-02,2609,THE UPS STORE 2545,Other Services,14.60,
2025-04-02,2025-04-02,0674,RECREATION.GOV,Other Services,6.00,
2025-04-01,2025-04-02,0674,PROGRESSIVE INS,Insurance,709.00,
2025-03-30,2025-04-01,2609,SMITHS MRKTPL #4094,Merchandise,23.22,
2025-03-31,2025-04-01,2609,TST* HASH KITCHEN - SALT,Dining,50.03,
2025-03-30,2025-03-31,2609,AMAZON MKTPL*SK55P9VZ3,Merchandise,29.30,
2025-03-29,2025-03-31,2609,LOWES #02275*,Merchandise,29.16,
2025-03-30,2025-03-31,0674,MCDONALD'S F37479,Dining,8.32,
2025-03-29,2025-03-31,0674,PINEHURST FOODBEVERAGE,Dining,45.34,
2025-03-29,2025-03-31,0674,THE BELL TREE TAVERN,Dining,42.90,
2025-03-29,2025-03-31,2609,SMITHS FOOD #4083,Merchandise,12.98,
2025-03-29,2025-03-31,2609,SMITHS FOOD #4066,Merchandise,1.40,
2025-03-30,2025-03-31,0674,AMERICAN AIR0014457269875,Airfare,35.00,
2025-03-29,2025-03-31,0674,CHIPOTLE 4279,Dining,9.58,
2025-03-29,2025-03-31,0674,GLF*LONGLEAFGOLF,Entertainment,30.68,
2025-03-28,2025-03-31,0674,PINEHURST BREWING COMP,Dining,21.12,
2025-03-28,2025-03-31,0674,PINEHURST PRO SHOP,Merchandise,53.50,
2025-03-28,2025-03-29,2609,COSTCO WHSE #0113,Merchandise,38.93,
2025-03-28,2025-03-29,2609,CHIPOTLE ONLINE,Dining,12.91,
2025-03-28,2025-03-29,0674,7-ELEVEN 35593,Gas/Automotive,7.19,
2025-03-27,2025-03-29,0674,TST*SALTED MELON-SOUTHEN,Dining,14.11,
2025-03-27,2025-03-29,0674,WENDYS 18,Dining,7.58,
2025-03-27,2025-03-28,2609,SMITHS MRKTPL #4094,Merchandise,36.09,
2025-03-27,2025-03-28,0674,PUBLIX #1453,Merchandise,25.18,
2025-03-27,2025-03-28,0674,SQ *BITTY & BEAU'S COFFEE,Dining,5.14,
2025-03-27,2025-03-28,0674,SQ *BITTY & BEAU'S COFFEE,Dining,9.67,
2025-03-27,2025-03-28,0674,YSI*Maisons Landing,Other Services,100.00,
2025-03-26,2025-03-27,2609,MACEY'S 21ST SOUTH,Merchandise,20.06,
2025-03-26,2025-03-27,2609,AMAZON MKTPL*ZG0CY96H3,Merchandise,34.62,
2025-03-27,2025-03-27,0674,LYFT   *RIDE WED 10PM,Other Travel,20.27,
2025-03-26,2025-03-27,0674,AMERICAN AIR0014456993605,Airfare,35.00,
2025-03-25,2025-03-27,0674,"ALLEGNT AIR,S4Z",Airfare,308.00,
2025-03-26,2025-03-26,2609,AMAZON MKTPL*O06T492P3,Merchandise,12.98,
2025-03-25,2025-03-26,2609,SPEEDWAY 09432 524 W. 450,Gas/Automotive,10.37,
2025-03-25,2025-03-26,2609,ZOLA.COM*REGISTRY,Other Services,211.99,
2025-03-25,2025-03-26,0674,UTAH BIG GAME APP.,Entertainment,30.66,
2025-03-24,2025-03-25,2609,PRIMARY CHILDRENS HOSPITA,Health Care,6.29,
2025-03-24,2025-03-25,0674,KNICKERBOC* KNICKERBOC,Dining,16.67,
2025-03-23,2025-03-24,0674,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1474.62
2025-03-23,2025-03-24,2609,TST*SKINNYFATS - HP,Dining,22.84,
2025-03-23,2025-03-24,2609,SMITHS MRKTPL #4094,Merchandise,6.17,
2025-03-22,2025-03-24,2609,DBA PHARMACY 138,Health Care,49.25,
2025-03-22,2025-03-24,2609,PRIMARY CHILDRENS HOSPITA,Health Care,1.57,
2025-03-23,2025-03-24,0674,PANDA EXPRESS #2864,Dining,11.14,
2025-03-23,2025-03-24,0674,SQ *BJORN'S BREW STATE LL,Dining,6.75,
2025-03-22,2025-03-24,2609,AMAZON MKTPL*492QK0XK3,Merchandise,46.35,
